date,sku,qty_sold
2025-01-01,SKU_A,30
2025-01-01,SKU_B,24
2025-01-01,SKU_C,18
2025-01-02,SKU_A,35
2025-01-02,SKU_B,21
2025-01-02,SKU_C,17
2025-01-03,SKU_A,44
2025-01-03,SKU_B,31
2025-01-03,SKU_C,16
2025-01-04,SKU_A,28
2025-01-04,SKU_B,24
2025-01-04,SKU_C,16
2025-01-05,SKU_A,37
2025-01-05,SKU_B,23
2025-01-05,SKU_C,14
2025-01-06,SKU_A,37
2025-01-06,SKU_B,33
2025-01-06,SKU_C,17
2025-01-07,SKU_A,34
2025-01-07,SKU_B,21
2025-01-07,SKU_C,17
2025-01-08,SKU_A,37
2025-01-08,SKU_B,22
2025-01-08,SKU_C,16
2025-01-09,SKU_A,34
2025-01-09,SKU_B,23
2025-01-09,SKU_C,17
2025-01-10,SKU_A,34
2025-01-10,SKU_B,16
2025-01-10,SKU_C,15
2025-01-11,SKU_A,21
2025-01-11,SKU_B,15
2025-01-11,SKU_C,7
2025-01-12,SKU_A,24
2025-01-12,SKU_B,13
2025-01-12,SKU_C,10
2025-01-13,SKU_A,43
2025-01-13,SKU_B,19
2025-01-13,SKU_C,15
2025-01-14,SKU_A,28
2025-01-14,SKU_B,20
2025-01-14,SKU_C,15
2025-01-15,SKU_A,36
2025-01-15,SKU_B,24
2025-01-15,SKU_C,16
2025-01-16,SKU_A,33
2025-01-16,SKU_B,27
2025-01-16,SKU_C,16
2025-01-17,SKU_A,52
2025-01-17,SKU_B,26
2025-01-17,SKU_C,21
2025-01-18,SKU_A,33
2025-01-18,SKU_B,25
2025-01-18,SKU_C,14
2025-01-19,SKU_A,35
2025-01-19,SKU_B,21
2025-01-19,SKU_C,17
2025-01-20,SKU_A,41
2025-01-20,SKU_B,26
2025-01-20,SKU_C,16
2025-01-21,SKU_A,41
2025-01-21,SKU_B,26
2025-01-21,SKU_C,20
2025-01-22,SKU_A,35
2025-01-22,SKU_B,25
2025-01-22,SKU_C,17
2025-01-23,SKU_A,35
2025-01-23,SKU_B,22
2025-01-23,SKU_C,15
2025-01-24,SKU_A,31
2025-01-24,SKU_B,19
2025-01-24,SKU_C,14
2025-01-25,SKU_A,27
2025-01-25,SKU_B,19
2025-01-25,SKU_C,13
2025-01-26,SKU_A,27
2025-01-26,SKU_B,16
2025-01-26,SKU_C,11
2025-01-27,SKU_A,32
2025-01-27,SKU_B,21
2025-01-27,SKU_C,17
2025-01-28,SKU_A,32
2025-01-28,SKU_B,19
2025-01-28,SKU_C,18
2025-01-29,SKU_A,38
2025-01-29,SKU_B,26
2025-01-29,SKU_C,18
2025-01-30,SKU_A,33
2025-01-30,SKU_B,33
2025-01-30,SKU_C,21
2025-01-31,SKU_A,44
2025-01-31,SKU_B,31
2025-01-31,SKU_C,20
2025-02-01,SKU_A,30
2025-02-01,SKU_B,22
2025-02-01,SKU_C,16
2025-02-02,SKU_A,36
2025-02-02,SKU_B,23
2025-02-02,SKU_C,15
2025-02-03,SKU_A,45
2025-02-03,SKU_B,23
2025-02-03,SKU_C,20
2025-02-04,SKU_A,43
2025-02-04,SKU_B,24
2025-02-04,SKU_C,13
2025-02-05,SKU_A,33
2025-02-05,SKU_B,25
2025-02-05,SKU_C,17
2025-02-06,SKU_A,41
2025-02-06,SKU_B,19
2025-02-06,SKU_C,15
2025-02-07,SKU_A,37
2025-02-07,SKU_B,21
2025-02-07,SKU_C,10
2025-02-08,SKU_A,28
2025-02-08,SKU_B,21
2025-02-08,SKU_C,13
2025-02-09,SKU_A,22
2025-02-09,SKU_B,14
2025-02-09,SKU_C,11
2025-02-10,SKU_A,41
2025-02-10,SKU_B,21
2025-02-10,SKU_C,13
2025-02-11,SKU_A,40
2025-02-11,SKU_B,21
2025-02-11,SKU_C,18
2025-02-12,SKU_A,34
2025-02-12,SKU_B,23
2025-02-12,SKU_C,18
2025-02-13,SKU_A,46
2025-02-13,SKU_B,28
2025-02-13,SKU_C,18
2025-02-14,SKU_A,34
2025-02-14,SKU_B,26
2025-02-14,SKU_C,18
2025-02-15,SKU_A,32
2025-02-15,SKU_B,24
2025-02-15,SKU_C,15
2025-02-16,SKU_A,35
2025-02-16,SKU_B,22
2025-02-16,SKU_C,14
2025-02-17,SKU_A,40
2025-02-17,SKU_B,27
2025-02-17,SKU_C,20
2025-02-18,SKU_A,36
2025-02-18,SKU_B,24
2025-02-18,SKU_C,15
2025-02-19,SKU_A,44
2025-02-19,SKU_B,28
2025-02-19,SKU_C,16
2025-02-20,SKU_A,33
2025-02-20,SKU_B,19
2025-02-20,SKU_C,15
2025-02-21,SKU_A,36
2025-02-21,SKU_B,28
2025-02-21,SKU_C,15
2025-02-22,SKU_A,24
2025-02-22,SKU_B,11
2025-02-22,SKU_C,14
2025-02-23,SKU_A,25
2025-02-23,SKU_B,12
2025-02-23,SKU_C,11
2025-02-24,SKU_A,26
2025-02-24,SKU_B,28
2025-02-24,SKU_C,16
2025-02-25,SKU_A,36
2025-02-25,SKU_B,21
2025-02-25,SKU_C,11
2025-02-26,SKU_A,37
2025-02-26,SKU_B,20
2025-02-26,SKU_C,18
2025-02-27,SKU_A,29
2025-02-27,SKU_B,23
2025-02-27,SKU_C,20
2025-02-28,SKU_A,52
2025-02-28,SKU_B,25
2025-02-28,SKU_C,16
2025-03-01,SKU_A,38
2025-03-01,SKU_B,25
2025-03-01,SKU_C,14
2025-03-02,SKU_A,30
2025-03-02,SKU_B,20
2025-03-02,SKU_C,13
2025-03-03,SKU_A,36
2025-03-03,SKU_B,30
2025-03-03,SKU_C,20
2025-03-04,SKU_A,48
2025-03-04,SKU_B,25
2025-03-04,SKU_C,17
2025-03-05,SKU_A,33
2025-03-05,SKU_B,24
2025-03-05,SKU_C,14
2025-03-06,SKU_A,28
2025-03-06,SKU_B,24
2025-03-06,SKU_C,18
2025-03-07,SKU_A,39
2025-03-07,SKU_B,26
